timestamp,tail,owner,airport,airport_name,leg
2023-08-14,N628TS,Elon Musk,RNO,Reno Tahoe International Airport,departure
2023-08-14,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-08-14,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-08-14,N628TS,Elon Musk,RNO,Reno Tahoe International Airport,arrival
2023-08-08,N628TS,Elon Musk,TEB,Teterboro Airport,departure
2023-08-08,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-08-07,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-08-07,N628TS,Elon Musk,TEB,Teterboro Airport,arrival
2023-08-05,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2023-08-05,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-08-04,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-08-04,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
2023-08-03,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-08-03,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-07-28,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-07-28,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-07-26,N628TS,Elon Musk,GOA,Genova Sestri Airport,departure
2023-07-26,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-07-24,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-07-24,N628TS,Elon Musk,GOA,Genova Sestri Airport,arrival
2023-07-18,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2023-07-18,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-07-17,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-07-17,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
2023-07-16,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2023-07-16,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2023-07-15,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2023-07-15,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
2023-07-11,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,departure
2023-07-11,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2023-07-10,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,departure
2023-07-10,N628TS,Elon Musk,HHR,Jack Northrop Field Hawthorne Municipal Airport,arrival
2023-07-08,N628TS,Elon Musk,AUS,Austin International Airport,departure
2023-07-08,N628TS,Elon Musk,BRO,Brownsville South Padre Island International Airport,arrival
